line_id,acct_invoice_id,product_id,quantity,unit_price,line_total
ACCT-LN-000001,ACCT-INV-00001,PROD-0087,1,284.26,284.26
ACCT-LN-000002,ACCT-INV-00001,PROD-0010,4,338.44,1353.76
ACCT-LN-000003,ACCT-INV-00001,PROD-0098,4,158.68,634.72
ACCT-LN-000004,ACCT-INV-00001,PROD-0062,4,76.22,304.88
ACCT-LN-000005,ACCT-INV-00002,PROD-0028,4,240.31,961.24
ACCT-LN-000006,ACCT-INV-00003,PROD-0032,4,221.97,887.88
ACCT-LN-000007,ACCT-INV-00003,PROD-0051,4,274.05,1096.20
ACCT-LN-000008,ACCT-INV-00003,PROD-0071,6,405.68,2434.08
ACCT-LN-000009,ACCT-INV-00003,PROD-0100,5,37.08,185.40
ACCT-LN-000010,ACCT-INV-00004,PROD-0040,18,216.21,3891.78
ACCT-LN-000011,ACCT-INV-00004,PROD-0047,26,450.44,11711.44
ACCT-LN-000012,ACCT-INV-00004,PROD-0064,24,386.95,9286.80
ACCT-LN-000013,ACCT-INV-00005,PROD-0027,6,392.53,2355.18
ACCT-LN-000014,ACCT-INV-00005,PROD-0041,7,216.65,1516.55
ACCT-LN-000015,ACCT-INV-00005,PROD-0006,4,348.13,1392.52
ACCT-LN-000016,ACCT-INV-00006,PROD-0075,7,66.19,463.33
ACCT-LN-000017,ACCT-INV-00006,PROD-0038,3,54.08,162.24
ACCT-LN-000018,ACCT-INV-00006,PROD-0026,6,447.94,2687.64
ACCT-LN-000019,ACCT-INV-00006,PROD-0030,7,494.13,3458.91
ACCT-LN-000020,ACCT-INV-00006,PROD-0073,4,335.84,1343.36
ACCT-LN-000021,ACCT-INV-00007,PROD-0033,25,450.15,11253.75
ACCT-LN-000022,ACCT-INV-00007,PROD-0093,30,163.71,4911.30
ACCT-LN-000023,ACCT-INV-00007,PROD-0095,25,107.90,2697.50
ACCT-LN-000024,ACCT-INV-00008,PROD-0022,3,311.47,934.41
ACCT-LN-000025,ACCT-INV-00008,PROD-0093,8,163.71,1309.68
ACCT-LN-000026,ACCT-INV-00008,PROD-0024,1,363.40,363.40
ACCT-LN-000027,ACCT-INV-00009,PROD-0098,1,158.68,158.68
ACCT-LN-000028,ACCT-INV-00010,PROD-0091,3,283.43,850.29
ACCT-LN-000029,ACCT-INV-00011,PROD-0008,8,317.23,2537.84
ACCT-LN-000030,ACCT-INV-00011,PROD-0085,8,284.56,2276.48
ACCT-LN-000031,ACCT-INV-00011,PROD-0003,1,492.35,492.35
ACCT-LN-000032,ACCT-INV-00012,PROD-0068,5,207.38,1036.90
ACCT-LN-000033,ACCT-INV-00013,PROD-0090,7,163.51,1144.57
ACCT-LN-000034,ACCT-INV-00013,PROD-0023,2,216.00,432.00
ACCT-LN-000035,ACCT-INV-00013,PROD-0013,3,291.02,873.06
ACCT-LN-000036,ACCT-INV-00013,PROD-0031,4,312.14,1248.56
ACCT-LN-000037,ACCT-INV-00013,PROD-0080,5,150.28,751.40
ACCT-LN-000038,ACCT-INV-00014,PROD-0011,6,283.89,1703.34
ACCT-LN-000039,ACCT-INV-00014,PROD-0052,8,288.73,2309.84
ACCT-LN-000040,ACCT-INV-00014,PROD-0073,4,335.84,1343.36
ACCT-LN-000041,ACCT-INV-00014,PROD-0090,4,163.51,654.04
ACCT-LN-000042,ACCT-INV-00015,PROD-0012,7,343.50,2404.50
ACCT-LN-000043,ACCT-INV-00016,PROD-0082,1,28.92,28.92
ACCT-LN-000044,ACCT-INV-00017,PROD-0083,6,251.46,1508.76
ACCT-LN-000045,ACCT-INV-00017,PROD-0073,2,335.84,671.68
ACCT-LN-000046,ACCT-INV-00017,PROD-0068,1,207.38,207.38
ACCT-LN-000047,ACCT-INV-00017,PROD-0030,4,494.13,1976.52
ACCT-LN-000048,ACCT-INV-00018,PROD-0061,5,422.03,2110.15
ACCT-LN-000049,ACCT-INV-00018,PROD-0006,2,348.13,696.26
ACCT-LN-000050,ACCT-INV-00018,PROD-0088,5,328.26,1641.30
ACCT-LN-000051,ACCT-INV-00018,PROD-0070,1,64.42,64.42
ACCT-LN-000052,ACCT-INV-00018,PROD-0023,6,216.00,1296.00
ACCT-LN-000053,ACCT-INV-00019,PROD-0097,7,304.44,2131.08
ACCT-LN-000054,ACCT-INV-00019,PROD-0010,5,338.44,1692.20
ACCT-LN-000055,ACCT-INV-00020,PROD-0087,6,284.26,1705.56
ACCT-LN-000056,ACCT-INV-00020,PROD-0050,3,422.65,1267.95
ACCT-LN-000057,ACCT-INV-00020,PROD-0089,2,60.13,120.26
ACCT-LN-000058,ACCT-INV-00020,PROD-0065,6,482.41,2894.46
ACCT-LN-000059,ACCT-INV-00021,PROD-0044,7,246.34,1724.38
ACCT-LN-000060,ACCT-INV-00022,PROD-0058,8,378.28,3026.24
ACCT-LN-000061,ACCT-INV-00022,PROD-0030,6,494.13,2964.78
ACCT-LN-000062,ACCT-INV-00022,PROD-0071,7,405.68,2839.76
ACCT-LN-000063,ACCT-INV-00023,PROD-0011,5,283.89,1419.45
ACCT-LN-000064,ACCT-INV-00023,PROD-0032,2,221.97,443.94
ACCT-LN-000065,ACCT-INV-00023,PROD-0011,5,283.89,1419.45
