acct_invoice_id,customer_id,crm_invoice_id,invoice_date,total_amount,status
ACCT-INV-00001,CUST-0014,CRM-INV-00001,2026-01-09,2577.62,Posted
ACCT-INV-00002,CUST-0086,CRM-INV-00002,2026-01-10,961.24,Posted
ACCT-INV-00003,CUST-0031,CRM-INV-00003,2026-01-24,4603.56,Posted
ACCT-INV-00004,CUST-0137,CRM-INV-00004,2026-01-21,24890.02,Posted
ACCT-INV-00005,CUST-0185,CRM-INV-00005,2026-01-16,5264.25,Posted
ACCT-INV-00006,CUST-0005,CRM-INV-00006,2026-01-09,5828.41,Posted
ACCT-INV-00007,CUST-0168,CRM-INV-00007,2026-01-31,18862.55,Posted
ACCT-INV-00008,CUST-0188,CRM-INV-00008,2026-01-26,2607.49,Posted
ACCT-INV-00009,CUST-0020,CRM-INV-00009,2026-01-31,158.68,Posted
ACCT-INV-00010,CUST-0162,CRM-INV-00010,2026-01-08,850.29,Posted
ACCT-INV-00011,CUST-0130,CRM-INV-00011,2026-01-15,5306.67,Posted
ACCT-INV-00012,CUST-0106,CRM-INV-00012,2026-01-01,1036.90,Posted
ACCT-INV-00013,CUST-0074,CRM-INV-00013,2026-01-01,4449.59,Posted
ACCT-INV-00014,CUST-0069,CRM-INV-00014,2026-01-26,6010.58,Posted
ACCT-INV-00015,CUST-0021,CRM-INV-00015,2026-01-21,2404.50,Posted
ACCT-INV-00016,CUST-0142,CRM-INV-00016,2026-01-16,28.92,Posted
ACCT-INV-00017,CUST-0022,CRM-INV-00017,2026-01-16,4364.34,Posted
ACCT-INV-00018,CUST-0178,CRM-INV-00018,2026-01-29,5808.13,Posted
ACCT-INV-00019,CUST-0054,CRM-INV-00019,2026-01-19,3823.28,Posted
ACCT-INV-00020,CUST-0062,CRM-INV-00020,2026-01-19,5988.23,Posted
ACCT-INV-00021,CUST-0112,CRM-INV-00021,2026-01-08,1724.38,Posted
ACCT-INV-00022,CUST-0084,CRM-INV-00022,2026-01-01,6421.85,Posted
ACCT-INV-00023,CUST-0175,CRM-INV-00023,2026-01-19,5672.01,Posted
ACCT-INV-00024,CUST-0163,CRM-INV-00024,2026-01-05,2616.51,Posted
ACCT-INV-00025,CUST-0027,CRM-INV-00025,2026-01-05,2543.80,Posted
ACCT-INV-00026,CUST-0143,CRM-INV-00026,2026-01-17,5934.24,Posted
ACCT-INV-00027,CUST-0004,CRM-INV-00027,2026-01-10,3861.38,Posted
ACCT-INV-00028,CUST-0069,CRM-INV-00028,2026-01-10,3002.84,Posted
ACCT-INV-00029,CUST-0124,CRM-INV-00029,2026-01-26,2252.20,Posted
ACCT-INV-00030,CUST-0185,CRM-INV-00030,2026-01-21,4088.05,Posted
ACCT-INV-00031,CUST-0159,CRM-INV-00031,2026-01-13,3383.37,Posted
ACCT-INV-00032,CUST-0178,CRM-INV-00032,2026-01-07,2811.45,Posted
ACCT-INV-00033,CUST-0072,CRM-INV-00033,2026-01-27,3646.62,Posted
ACCT-INV-00034,CUST-0119,CRM-INV-00034,2026-01-31,807.01,Posted
ACCT-INV-00035,CUST-0105,CRM-INV-00035,2026-01-22,5315.09,Posted
ACCT-INV-00036,CUST-0019,CRM-INV-00036,2026-01-15,4263.55,Posted
ACCT-INV-00037,CUST-0091,CRM-INV-00037,2026-01-06,29803.81,Posted
ACCT-INV-00038,CUST-0131,CRM-INV-00038,2026-01-24,6486.42,Posted
ACCT-INV-00039,CUST-0076,CRM-INV-00039,2026-01-14,927.69,Posted
ACCT-INV-00040,CUST-0088,CRM-INV-00040,2026-01-15,6767.60,Posted
ACCT-INV-00041,CUST-0185,CRM-INV-00041,2026-01-23,4305.83,Posted
ACCT-INV-00042,CUST-0174,CRM-INV-00042,2026-01-26,8816.95,Posted
