line_id,crm_invoice_id,product_id,quantity,unit_price,line_total
CRM-LN-000001,CRM-INV-00001,PROD-0087,1,284.26,284.26
CRM-LN-000002,CRM-INV-00001,PROD-0010,4,338.44,1353.76
CRM-LN-000003,CRM-INV-00001,PROD-0098,4,158.68,634.72
CRM-LN-000004,CRM-INV-00001,PROD-0062,4,76.22,304.88
CRM-LN-000005,CRM-INV-00002,PROD-0028,4,240.31,961.24
CRM-LN-000006,CRM-INV-00003,PROD-0032,4,221.97,887.88
CRM-LN-000007,CRM-INV-00003,PROD-0051,4,274.05,1096.20
CRM-LN-000008,CRM-INV-00003,PROD-0071,6,405.68,2434.08
CRM-LN-000009,CRM-INV-00003,PROD-0100,5,37.08,185.40
CRM-LN-000010,CRM-INV-00004,PROD-0040,18,183.78,3308.04
CRM-LN-000011,CRM-INV-00004,PROD-0047,26,382.87,9954.62
CRM-LN-000012,CRM-INV-00004,PROD-0064,24,328.91,7893.84
CRM-LN-000013,CRM-INV-00005,PROD-0027,6,392.53,2355.18
CRM-LN-000014,CRM-INV-00005,PROD-0041,7,216.65,1516.55
CRM-LN-000015,CRM-INV-00005,PROD-0006,4,348.13,1392.52
CRM-LN-000016,CRM-INV-00006,PROD-0075,7,66.19,463.33
CRM-LN-000017,CRM-INV-00006,PROD-0038,3,54.08,162.24
CRM-LN-000018,CRM-INV-00006,PROD-0026,6,447.94,2687.64
CRM-LN-000019,CRM-INV-00006,PROD-0030,7,494.13,3458.91
CRM-LN-000020,CRM-INV-00006,PROD-0073,4,335.84,1343.36
CRM-LN-000021,CRM-INV-00007,PROD-0033,25,382.63,9565.75
CRM-LN-000022,CRM-INV-00007,PROD-0093,30,139.15,4174.50
CRM-LN-000023,CRM-INV-00007,PROD-0095,25,91.72,2293.00
CRM-LN-000024,CRM-INV-00008,PROD-0022,3,311.47,934.41
CRM-LN-000025,CRM-INV-00008,PROD-0093,8,163.71,1309.68
CRM-LN-000026,CRM-INV-00008,PROD-0024,1,363.40,363.40
CRM-LN-000027,CRM-INV-00009,PROD-0098,1,158.68,158.68
CRM-LN-000028,CRM-INV-00010,PROD-0091,3,283.43,850.29
CRM-LN-000029,CRM-INV-00011,PROD-0008,8,317.23,2537.84
CRM-LN-000030,CRM-INV-00011,PROD-0085,8,284.56,2276.48
CRM-LN-000031,CRM-INV-00011,PROD-0003,1,492.35,492.35
CRM-LN-000032,CRM-INV-00012,PROD-0068,5,207.38,1036.90
CRM-LN-000033,CRM-INV-00013,PROD-0090,7,163.51,1144.57
CRM-LN-000034,CRM-INV-00013,PROD-0023,2,216.00,432.00
CRM-LN-000035,CRM-INV-00013,PROD-0013,3,291.02,873.06
CRM-LN-000036,CRM-INV-00013,PROD-0031,4,312.14,1248.56
CRM-LN-000037,CRM-INV-00013,PROD-0080,5,150.28,751.40
CRM-LN-000038,CRM-INV-00014,PROD-0011,6,283.89,1703.34
CRM-LN-000039,CRM-INV-00014,PROD-0052,8,288.73,2309.84
CRM-LN-000040,CRM-INV-00014,PROD-0073,4,335.84,1343.36
CRM-LN-000041,CRM-INV-00014,PROD-0090,4,163.51,654.04
CRM-LN-000042,CRM-INV-00015,PROD-0012,7,343.50,2404.50
CRM-LN-000043,CRM-INV-00016,PROD-0082,1,28.92,28.92
CRM-LN-000044,CRM-INV-00017,PROD-0083,6,251.46,1508.76
CRM-LN-000045,CRM-INV-00017,PROD-0073,2,335.84,671.68
CRM-LN-000046,CRM-INV-00017,PROD-0068,1,207.38,207.38
CRM-LN-000047,CRM-INV-00017,PROD-0030,4,494.13,1976.52
CRM-LN-000048,CRM-INV-00018,PROD-0061,5,422.03,2110.15
CRM-LN-000049,CRM-INV-00018,PROD-0006,2,348.13,696.26
CRM-LN-000050,CRM-INV-00018,PROD-0088,5,328.26,1641.30
CRM-LN-000051,CRM-INV-00018,PROD-0070,1,64.42,64.42
CRM-LN-000052,CRM-INV-00018,PROD-0023,6,216.00,1296.00
CRM-LN-000053,CRM-INV-00019,PROD-0097,7,304.44,2131.08
