crm_invoice_id,customer_id,invoice_date,total_amount,status,synced_to_accounting,is_promotional
CRM-INV-00001,CUST-0014,2026-01-09,2577.62,Open,TRUE,FALSE
CRM-INV-00002,CUST-0086,2026-01-10,961.24,Open,TRUE,FALSE
CRM-INV-00003,CUST-0031,2026-01-24,4603.56,Paid,TRUE,FALSE
CRM-INV-00004,CUST-0137,2026-01-21,21156.50,Paid,TRUE,TRUE
CRM-INV-00005,CUST-0185,2026-01-16,5264.25,Open,TRUE,FALSE
CRM-INV-00006,CUST-0005,2026-01-09,5828.41,Paid,TRUE,FALSE
CRM-INV-00007,CUST-0168,2026-01-31,16033.25,Paid,TRUE,TRUE
CRM-INV-00008,CUST-0188,2026-01-26,2607.49,Paid,TRUE,FALSE
CRM-INV-00009,CUST-0020,2026-01-31,158.68,Paid,TRUE,FALSE
CRM-INV-00010,CUST-0162,2026-01-08,850.29,Paid,TRUE,FALSE
CRM-INV-00011,CUST-0130,2026-01-15,5306.67,Paid,TRUE,FALSE
CRM-INV-00012,CUST-0106,2026-01-01,1036.90,Paid,TRUE,FALSE
CRM-INV-00013,CUST-0074,2026-01-01,4449.59,Open,TRUE,FALSE
CRM-INV-00014,CUST-0069,2026-01-26,6010.58,Paid,TRUE,FALSE
CRM-INV-00015,CUST-0021,2026-01-21,2404.50,Paid,TRUE,FALSE
CRM-INV-00016,CUST-0142,2026-01-16,28.92,Open,TRUE,FALSE
CRM-INV-00017,CUST-0022,2026-01-16,4364.34,Open,TRUE,FALSE
CRM-INV-00018,CUST-0178,2026-01-29,5808.13,Paid,TRUE,FALSE
CRM-INV-00019,CUST-0054,2026-01-19,3823.28,Paid,TRUE,FALSE
CRM-INV-00020,CUST-0062,2026-01-19,5988.23,Paid,TRUE,FALSE
CRM-INV-00021,CUST-0112,2026-01-08,1724.38,Open,TRUE,FALSE
CRM-INV-00022,CUST-0084,2026-01-01,6421.85,Paid,TRUE,FALSE
CRM-INV-00023,CUST-0175,2026-01-19,5672.01,Open,TRUE,FALSE
CRM-INV-00024,CUST-0163,2026-01-05,2616.51,Open,TRUE,FALSE
CRM-INV-00025,CUST-0027,2026-01-05,2543.80,Paid,TRUE,FALSE
CRM-INV-00026,CUST-0143,2026-01-17,5934.24,Open,TRUE,FALSE
CRM-INV-00027,CUST-0004,2026-01-10,3861.38,Paid,TRUE,FALSE
CRM-INV-00028,CUST-0069,2026-01-10,3002.84,Paid,TRUE,FALSE
CRM-INV-00029,CUST-0124,2026-01-26,2252.20,Open,TRUE,FALSE
CRM-INV-00030,CUST-0185,2026-01-21,4088.05,Paid,TRUE,FALSE
CRM-INV-00031,CUST-0159,2026-01-13,3383.37,Paid,TRUE,FALSE
CRM-INV-00032,CUST-0178,2026-01-07,2811.45,Paid,TRUE,FALSE
CRM-INV-00033,CUST-0072,2026-01-27,3646.62,Open,TRUE,FALSE
CRM-INV-00034,CUST-0119,2026-01-31,807.01,Open,TRUE,FALSE
CRM-INV-00035,CUST-0105,2026-01-22,5315.09,Open,TRUE,FALSE
CRM-INV-00036,CUST-0019,2026-01-15,4263.55,Paid,TRUE,FALSE
CRM-INV-00037,CUST-0091,2026-01-06,25333.23,Paid,TRUE,TRUE
CRM-INV-00038,CUST-0131,2026-01-24,6486.42,Paid,TRUE,FALSE
CRM-INV-00039,CUST-0076,2026-01-14,927.69,Paid,TRUE,FALSE
CRM-INV-00040,CUST-0088,2026-01-15,6767.60,Paid,TRUE,FALSE
CRM-INV-00041,CUST-0185,2026-01-23,4305.83,Paid,TRUE,FALSE
CRM-INV-00042,CUST-0174,2026-01-26,7494.44,Paid,TRUE,TRUE
CRM-INV-00043,CUST-0085,2026-01-18,5207.24,Open,TRUE,FALSE
CRM-INV-00044,CUST-0051,2026-01-15,3962.65,Open,TRUE,FALSE
CRM-INV-00045,CUST-0138,2026-01-06,2929.34,Paid,TRUE,FALSE
CRM-INV-00046,CUST-0164,2026-01-11,7749.82,Open,TRUE,FALSE
CRM-INV-00047,CUST-0152,2026-01-03,1994.00,Paid,TRUE,FALSE
CRM-INV-00048,CUST-0096,2026-01-23,3803.77,Paid,TRUE,FALSE
CRM-INV-00049,CUST-0109,2026-01-06,4647.42,Paid,TRUE,FALSE
CRM-INV-00050,CUST-0116,2026-01-20,276.04,Paid,TRUE,FALSE
CRM-INV-00051,CUST-0050,2026-01-27,6356.54,Paid,TRUE,FALSE
CRM-INV-00052,CUST-0008,2026-01-26,646.80,Paid,TRUE,FALSE
CRM-INV-00053,CUST-0044,2026-01-25,5858.88,Paid,TRUE,FALSE
CRM-INV-00054,CUST-0194,2026-01-02,1387.89,Paid,TRUE,FALSE
CRM-INV-00055,CUST-0090,2026-01-28,274.70,Open,TRUE,FALSE
CRM-INV-00056,CUST-0061,2026-01-07,6752.70,Paid,TRUE,FALSE
CRM-INV-00057,CUST-0153,2026-01-18,1289.90,Open,TRUE,FALSE
CRM-INV-00058,CUST-0132,2026-01-29,2341.78,Open,TRUE,FALSE
CRM-INV-00059,CUST-0071,2026-01-28,1156.44,Open,TRUE,FALSE
CRM-INV-00060,CUST-0064,2026-01-25,6284.54,Paid,TRUE,FALSE
CRM-INV-00061,CUST-0197,2026-01-03,3969.13,Open,TRUE,FALSE
CRM-INV-00062,CUST-0188,2026-01-03,6326.73,Paid,TRUE,FALSE
CRM-INV-00063,CUST-0073,2026-01-11,6023.78,Paid,TRUE,FALSE
CRM-INV-00064,CUST-0041,2026-01-15,2911.32,Paid,TRUE,FALSE
CRM-INV-00065,CUST-0093,2026-01-09,679.14,Paid,TRUE,FALSE
CRM-INV-00066,CUST-0161,2026-01-10,913.90,Paid,TRUE,FALSE
CRM-INV-00067,CUST-0123,2026-01-03,5156.24,Paid,TRUE,FALSE
CRM-INV-00068,CUST-0179,2026-01-11,520.56,Paid,TRUE,FALSE
CRM-INV-00069,CUST-0059,2026-01-13,336.08,Paid,TRUE,FALSE
CRM-INV-00070,CUST-0095,2026-01-29,3207.40,Paid,TRUE,FALSE
CRM-INV-00071,CUST-0145,2026-01-01,3539.74,Open,TRUE,FALSE
CRM-INV-00072,CUST-0023,2026-01-29,669.08,Paid,TRUE,FALSE
CRM-INV-00073,CUST-0099,2026-01-12,13633.13,Paid,TRUE,TRUE
CRM-INV-00074,CUST-0185,2026-01-20,3030.00,Open,TRUE,FALSE
