recon_id,crm_invoice_id,acct_invoice_id,match_status,crm_amount,acct_amount,variance_amount,variance_reason
REC-00001,CRM-INV-00001,ACCT-INV-00001,Matched,2577.62,2577.62,0.00,
REC-00002,CRM-INV-00002,ACCT-INV-00002,Matched,961.24,961.24,0.00,
REC-00003,CRM-INV-00003,ACCT-INV-00003,Matched,4603.56,4603.56,0.00,
REC-00004,CRM-INV-00004,ACCT-INV-00004,Variance,21156.50,24890.02,3733.52,Pricing difference - promotional discount not applied in accounting
REC-00005,CRM-INV-00005,ACCT-INV-00005,Matched,5264.25,5264.25,0.00,
REC-00006,CRM-INV-00006,ACCT-INV-00006,Matched,5828.41,5828.41,0.00,
REC-00007,CRM-INV-00007,ACCT-INV-00007,Variance,16033.25,18862.55,2829.30,Pricing difference - promotional discount not applied in accounting
REC-00008,CRM-INV-00008,ACCT-INV-00008,Matched,2607.49,2607.49,0.00,
REC-00009,CRM-INV-00009,ACCT-INV-00009,Matched,158.68,158.68,0.00,
REC-00010,CRM-INV-00010,ACCT-INV-00010,Matched,850.29,850.29,0.00,
REC-00011,CRM-INV-00011,ACCT-INV-00011,Matched,5306.67,5306.67,0.00,
REC-00012,CRM-INV-00012,ACCT-INV-00012,Matched,1036.90,1036.90,0.00,
REC-00013,CRM-INV-00013,ACCT-INV-00013,Matched,4449.59,4449.59,0.00,
REC-00014,CRM-INV-00014,ACCT-INV-00014,Matched,6010.58,6010.58,0.00,
REC-00015,CRM-INV-00015,ACCT-INV-00015,Matched,2404.50,2404.50,0.00,
REC-00016,CRM-INV-00016,ACCT-INV-00016,Matched,28.92,28.92,0.00,
REC-00017,CRM-INV-00017,ACCT-INV-00017,Matched,4364.34,4364.34,0.00,
REC-00018,CRM-INV-00018,ACCT-INV-00018,Matched,5808.13,5808.13,0.00,
REC-00019,CRM-INV-00019,ACCT-INV-00019,Matched,3823.28,3823.28,0.00,
REC-00020,CRM-INV-00020,ACCT-INV-00020,Matched,5988.23,5988.23,0.00,
REC-00021,CRM-INV-00021,ACCT-INV-00021,Matched,1724.38,1724.38,0.00,
REC-00022,CRM-INV-00022,ACCT-INV-00022,Matched,6421.85,6421.85,0.00,
REC-00023,CRM-INV-00023,ACCT-INV-00023,Matched,5672.01,5672.01,0.00,
REC-00024,CRM-INV-00024,ACCT-INV-00024,Matched,2616.51,2616.51,0.00,
REC-00025,CRM-INV-00025,ACCT-INV-00025,Matched,2543.80,2543.80,0.00,
REC-00026,CRM-INV-00026,ACCT-INV-00026,Matched,5934.24,5934.24,0.00,
REC-00027,CRM-INV-00027,ACCT-INV-00027,Matched,3861.38,3861.38,0.00,
REC-00028,CRM-INV-00028,ACCT-INV-00028,Matched,3002.84,3002.84,0.00,
REC-00029,CRM-INV-00029,ACCT-INV-00029,Matched,2252.20,2252.20,0.00,
REC-00030,CRM-INV-00030,ACCT-INV-00030,Matched,4088.05,4088.05,0.00,
REC-00031,CRM-INV-00031,ACCT-INV-00031,Matched,3383.37,3383.37,0.00,
REC-00032,CRM-INV-00032,ACCT-INV-00032,Matched,2811.45,2811.45,0.00,
REC-00033,CRM-INV-00033,ACCT-INV-00033,Matched,3646.62,3646.62,0.00,
REC-00034,CRM-INV-00034,ACCT-INV-00034,Matched,807.01,807.01,0.00,
REC-00035,CRM-INV-00035,ACCT-INV-00035,Matched,5315.09,5315.09,0.00,
REC-00036,CRM-INV-00036,ACCT-INV-00036,Matched,4263.55,4263.55,0.00,
REC-00037,CRM-INV-00037,ACCT-INV-00037,Variance,25333.23,29803.81,4470.58,Pricing difference - promotional discount not applied in accounting
REC-00038,CRM-INV-00038,ACCT-INV-00038,Matched,6486.42,6486.42,0.00,
REC-00039,CRM-INV-00039,ACCT-INV-00039,Matched,927.69,927.69,0.00,
REC-00040,CRM-INV-00040,ACCT-INV-00040,Matched,6767.60,6767.60,0.00,
REC-00041,CRM-INV-00041,ACCT-INV-00041,Matched,4305.83,4305.83,0.00,
REC-00042,CRM-INV-00042,ACCT-INV-00042,Variance,7494.44,8816.95,1322.51,Pricing difference - promotional discount not applied in accounting
REC-00043,CRM-INV-00043,ACCT-INV-00043,Matched,5207.24,5207.24,0.00,
REC-00044,CRM-INV-00044,ACCT-INV-00044,Matched,3962.65,3962.65,0.00,
REC-00045,CRM-INV-00045,ACCT-INV-00045,Matched,2929.34,2929.34,0.00,
REC-00046,CRM-INV-00046,ACCT-INV-00046,Matched,7749.82,7749.82,0.00,
REC-00047,CRM-INV-00047,ACCT-INV-00047,Matched,1994.00,1994.00,0.00,
REC-00048,CRM-INV-00048,ACCT-INV-00048,Matched,3803.77,3803.77,0.00,
REC-00049,CRM-INV-00049,ACCT-INV-00049,Matched,4647.42,4647.42,0.00,
REC-00050,CRM-INV-00050,ACCT-INV-00050,Matched,276.04,276.04,0.00,
REC-00051,CRM-INV-00051,ACCT-INV-00051,Matched,6356.54,6356.54,0.00,
REC-00052,CRM-INV-00052,ACCT-INV-00052,Matched,646.80,646.80,0.00,
REC-00053,CRM-INV-00053,ACCT-INV-00053,Matched,5858.88,5858.88,0.00,
REC-00054,CRM-INV-00054,ACCT-INV-00054,Matched,1387.89,1387.89,0.00,
REC-00055,CRM-INV-00055,ACCT-INV-00055,Matched,274.70,274.70,0.00,
REC-00056,CRM-INV-00056,ACCT-INV-00056,Matched,6752.70,6752.70,0.00,
REC-00057,CRM-INV-00057,ACCT-INV-00057,Matched,1289.90,1289.90,0.00,
REC-00058,CRM-INV-00058,ACCT-INV-00058,Matched,2341.78,2341.78,0.00,
REC-00059,CRM-INV-00059,ACCT-INV-00059,Matched,1156.44,1156.44,0.00,
REC-00060,CRM-INV-00060,ACCT-INV-00060,Matched,6284.54,6284.54,0.00,
REC-00061,CRM-INV-00061,ACCT-INV-00061,Matched,3969.13,3969.13,0.00,
REC-00062,CRM-INV-00062,ACCT-INV-00062,Matched,6326.73,6326.73,0.00,
REC-00063,CRM-INV-00063,ACCT-INV-00063,Matched,6023.78,6023.78,0.00,
REC-00064,CRM-INV-00064,ACCT-INV-00064,Matched,2911.32,2911.32,0.00,
REC-00065,CRM-INV-00065,ACCT-INV-00065,Matched,679.14,679.14,0.00,
REC-00066,CRM-INV-00066,ACCT-INV-00066,Matched,913.90,913.90,0.00,
REC-00067,CRM-INV-00067,ACCT-INV-00067,Matched,5156.24,5156.24,0.00,
REC-00068,CRM-INV-00068,ACCT-INV-00068,Matched,520.56,520.56,0.00,
REC-00069,CRM-INV-00069,ACCT-INV-00069,Matched,336.08,336.08,0.00,
REC-00070,CRM-INV-00070,ACCT-INV-00070,Matched,3207.40,3207.40,0.00,
REC-00071,CRM-INV-00071,ACCT-INV-00071,Matched,3539.74,3539.74,0.00,
REC-00072,CRM-INV-00072,ACCT-INV-00072,Matched,669.08,669.08,0.00,
REC-00073,CRM-INV-00073,ACCT-INV-00073,Variance,13633.13,16039.27,2406.14,Pricing difference - promotional discount not applied in accounting
REC-00074,CRM-INV-00074,ACCT-INV-00074,Matched,3030.00,3030.00,0.00,
REC-00075,CRM-INV-00075,ACCT-INV-00075,Matched,2497.12,2497.12,0.00,
REC-00076,CRM-INV-00076,ACCT-INV-00076,Matched,9543.00,9543.00,0.00,
REC-00077,CRM-INV-00077,ACCT-INV-00077,Matched,716.08,716.08,0.00,
